!1:encryption-level(ascii_sort_key_1)	2:per-line-revision	3:checkout-suggestion(ascii_sort_key_2)	4:merge-branch-nickname(ascii_sort_key_3)	5:tag-url(ascii_sort_key_4)
-1	1	$PROJECTS/Boot_Redirector	-	tag:xworld.mine.nu,2009:Boot_Redirector-t68wndsekcup6424yxgc7zznu.git
-1	1	$PROJECTS/Org/UserGuides/BusyBox	-	tag:xworld.mine.nu,2009:Org-UserGuides-BusyBox-f4rr4w05f537zl69v3m4l7kbs.git
-1	1	$PROJECTS/Org/UserGuides/unix_shell_advice	-	tag:xworld.mine.nu,2009:Org-UserGuides-unix_shell_advice-u41qdj1iu8uar4hrnj9t660da.git
-1	1	$PROJECTS/a4x	-	tag:xworld.mine.nu,2009:a4x-9slawn4w20gvlddf89md6ak1f.git
-1	1	$PROJECTS/aproto	-	tag:xworld.mine.nu,2009:aproto-l7vfs5nzmiupwq2w9hm3e4kw0.git
-1	1	$PROJECTS/apt_sync_inst_packages	-	tag:xworld.mine.nu,2009:apt_sync_inst_packages-eiguxm7st57kiygv0r77ssbt6.git
-1	1	$PROJECTS/arcfour16-drop786432-middle8	-	tag:xworld.mine.nu,2009:arcfour16-drop786432-middle8-897l48wgp8rlnma8ka5kwihf6.git
-1	1	$PROJECTS/base62	-	tag:xworld.mine.nu,2009:base62-rdjm3uzvz04szpev0d79prb2n.git
-1	1	$PROJECTS/busybox-customization	-	tag:xworld.mine.nu,2009:busybox-customization-iw1rm9hy62q2eu5rtrxis446y.git
-1	1	$PROJECTS/busybox-customization-configs	-	tag:xworld.mine.nu,2009:busybox-customization-configs-n44pz19cqa6l6ysp8digg6ifs.git
-1	1	$PROJECTS/c_function_attributes	-	tag:xworld.mine.nu,2009:c_function_attributes-l7eabiq3jl9qjq36kjpgzpmum.git
-1	1	$PROJECTS/cdevelop_setflags	-	tag:xworld.mine.nu,2009:cdevelop_setflags-hhtquj59htskz59kxdtlxe46w.git
-1	1	$PROJECTS/csv2rfl	-	tag:xworld.mine.nu,2009:csv2rfl-bnyemvm0sl4y1p0m843euzm8d.git
-1	1	$PROJECTS/debian-package-collection	-	tag:xworld.mine.nu,2009:debian-package-collection-jfzl9zgnzg0hfpyip0rwvn06a.git
-1	1	$PROJECTS/debootstrap-helper	-	tag:xworld.mine.nu,2009:debootstrap-helper-um488rt7p1u1fg01j5nay14hc.git
